RecordID,Timestamp,Latitude,Longitude,AreaType,WeatherConditions,TimeOfDay,MovementPatterns,ThermalAnomalies,UnusualObjectsDetected,ObjectType,SoundAnomalies,ElectromagneticSignals,ProximityToSensitiveAreas,RecentActivityLevel,VehicleDensity,HumanPresence,StructureChangeDetection,PastCriminalActivity,ProximityToMilitaryInstallations,LawEnforcementPresence,SuspiciousActivityDetected,Distance (km),NearestMilitaryCamp
1,2023-01-15 07:32:00,34.508387366741445,73.72457628832895,border_zone,rainy,night,moving_fast,no,no,none,no,none,no,high,5,176,yes,yes,yes,medium,1,47.78,Jammu Camp
2,2023-01-02 22:45:00,33.05793393563643,74.02287429886081,rural,foggy,night,moving_fast,no,no,missile,no,none,yes,medium,1,132,no,no,no,high,0,40.66,Baramulla Post
3,2023-10-06 10:43:00,33.7426363543047,74.23526425642032,mountain,cloudy,night,moving_fast,no,no,missile,yes,none,no,medium,26,146,yes,yes,no,medium,0,14.43,Kupwara Base
4,2023-01-23 17:13:00,34.8615941714929,72.51399154519964,mountain,clear,evening,hovering,no,no,none,yes,none,yes,medium,23,122,no,no,yes,high,1,4.23,Kupwara Base
5,2023-04-06 03:32:00,35.18460433085078,74.01130426973995,border_zone,cloudy,night,hovering,yes,no,missile,yes,strong,yes,medium,32,11,no,yes,no,medium,1,43.58,Jammu Camp
6,2023-02-19 13:54:00,34.96905302779396,72.62737381899002,rural,rainy,night,moving_fast,no,yes,none,no,strong,no,low,19,16,yes,no,yes,high,1,3.92,Jammu Camp
7,2023-10-30 14:20:00,35.447240690980884,74.7421036947562,urban,clear,morning,hovering,yes,no,none,no,strong,yes,high,25,135,no,no,no,low,0,2.22,Jammu Camp
8,2023-06-17 12:53:00,33.652452969824715,74.77177828523969,mountain,cloudy,afternoon,moving_fast,no,yes,missile,no,none,yes,low,37,72,yes,yes,yes,medium,1,9.49,Jammu Camp
9,2023-02-06 01:32:00,35.16094999512304,73.99547676960326,mountain,foggy,evening,moving_slow,yes,no,missile,no,weak,yes,low,6,111,yes,yes,yes,medium,0,46.7,Kupwara Base
10,2023-04-10 18:19:00,34.95601539547732,73.9333137229382,border_zone,rainy,morning,stationary,no,no,unknown,yes,weak,no,low,6,118,yes,no,yes,low,0,38.65,Kupwara Base
11,2023-04-03 16:52:00,32.72021925809761,74.11605447922541,urban,cloudy,night,moving_fast,yes,no,sniper,no,strong,no,high,46,22,yes,no,no,medium,1,49.63,Jammu Camp
12,2023-09-04 11:01:00,34.10333633127984,72.73175944610293,forest,rainy,afternoon,moving_fast,yes,yes,sniper,yes,none,yes,medium,34,29,no,yes,yes,low,0,39.84,Jammu Camp
13,2023-03-06 06:38:00,33.731825515525095,73.4126959058278,mountain,cloudy,night,stationary,yes,yes,missile,yes,none,yes,low,19,57,yes,yes,yes,low,0,24.32,Jammu Camp
14,2023-09-21 21:38:00,34.022483258141804,74.22833112557224,rural,rainy,night,moving_fast,no,no,missile,yes,weak,yes,medium,9,54,yes,no,no,medium,0,49.68,Srinagar Base
